t,dtMs,drawCalls,setPass,batches,bullets
6.259,6.21,30,28,30,0
6.264,4.99,30,28,30,0
6.269,4.52,30,28,30,0
6.275,5.92,30,28,30,0
6.279,4.38,30,28,30,0
6.284,4.50,30,28,30,0
6.289,5.02,30,28,30,0
6.294,4.90,30,28,30,0
6.299,5.62,30,28,30,0
6.304,5.18,30,28,30,0
6.310,5.94,30,28,30,0
6.316,5.18,30,28,30,0
6.321,5.25,30,28,30,0
6.326,5.04,30,28,30,0
6.331,5.33,30,28,30,0
6.336,4.50,30,28,30,0
6.341,5.26,30,28,30,0
6.347,6.12,30,28,30,0
6.354,6.72,30,28,30,0
6.360,5.82,30,28,30,0
6.365,5.52,30,28,30,0
6.371,6.01,30,28,30,0
6.376,4.75,30,28,30,0
6.381,4.74,30,28,30,0
6.387,6.25,30,28,30,0
6.393,6.13,30,28,30,0
6.399,5.60,30,28,30,0
6.404,5.53,30,28,30,0
6.411,6.84,30,28,30,0
6.418,6.79,30,28,30,0
6.425,7.05,30,28,30,0
6.430,5.28,30,28,30,0
6.436,5.43,30,28,30,0
6.441,5.08,30,28,30,0
6.446,5.31,30,28,30,0
6.455,9.19,30,28,30,0
6.462,6.97,30,28,30,0
6.467,4.90,30,28,30,0
6.472,4.86,30,28,30,0
6.477,5.13,30,28,30,0
6.522,45.04,30,28,30,0
6.528,6.39,30,28,30,0
6.533,4.13,30,28,30,0
6.537,4.25,30,28,30,0
6.541,4.52,30,28,30,0
6.546,4.38,30,28,30,0
6.550,4.13,30,28,30,0
6.554,4.52,30,28,30,0
6.559,4.79,30,28,30,0
6.563,4.22,30,28,30,0
6.567,4.08,30,28,30,0
6.572,4.38,30,28,30,0
6.576,3.90,30,28,30,0
6.580,3.90,30,28,30,0
6.586,6.04,30,28,30,0
6.591,5.19,30,28,30,0
6.595,4.56,30,28,30,0
6.600,4.74,30,28,30,0
6.605,4.69,30,28,30,0
6.609,4.33,30,28,30,0
6.613,3.98,30,28,30,0
6.620,7.26,30,28,30,0
6.625,4.35,30,28,30,0
6.629,4.57,30,28,30,0
6.634,4.34,30,28,30,0
6.638,4.18,30,28,30,0
6.643,4.90,30,28,30,0
6.648,4.74,30,28,30,0
6.652,4.88,30,28,30,0
6.656,3.87,30,28,30,0
6.661,4.69,30,28,30,0
6.666,4.60,30,28,30,0
6.670,4.23,30,28,30,0
6.675,4.91,30,28,30,0
6.681,6.10,30,28,30,0
6.685,4.33,30,28,30,0
6.689,4.15,30,28,30,0
6.694,4.75,30,28,30,0
6.699,4.66,30,28,30,0
6.703,4.40,30,28,30,0
6.708,4.83,30,28,30,0
6.712,4.55,30,28,30,0
6.718,5.43,30,28,30,0
6.722,4.26,30,28,30,0
6.727,5.08,30,28,30,0
6.732,4.68,30,28,30,0
6.738,5.61,30,28,30,0
6.742,4.42,30,28,30,0
6.746,4.25,30,28,30,0
6.751,4.50,30,28,30,0
6.756,5.11,30,28,30,0
6.760,4.07,30,28,30,0
6.764,4.04,30,28,30,0
6.769,5.27,30,28,30,0
6.775,5.84,30,28,30,0
6.785,9.92,30,28,30,0
6.828,42.91,31,29,31,0
6.833,5.27,31,29,31,0
6.837,4.18,31,29,31,0
6.842,4.23,31,29,31,0
6.846,4.53,31,29,31,0
6.853,6.67,31,29,31,0
