t,dtMs,drawCalls,setPass,batches,bullets
7.930,4.77,32,30,32,266
7.936,5.68,32,30,32,268
7.941,4.79,32,30,32,271
7.946,5.16,32,30,32,273
7.952,6.40,32,30,32,275
7.957,5.23,32,30,32,278
7.964,6.26,32,30,32,281
7.969,5.23,32,30,32,284
7.974,4.76,32,30,32,286
7.978,4.74,31,29,31,288
7.984,5.64,31,29,31,290
7.989,5.17,31,29,31,293
7.995,5.79,31,29,31,295
8.002,6.73,31,29,31,298
8.007,5.13,31,29,31,301
8.012,5.25,31,29,31,303
8.019,6.35,31,29,31,305
8.024,5.44,31,29,31,308
8.029,5.20,31,29,31,311
8.034,4.46,31,29,31,313
8.038,4.85,31,29,31,315
8.044,5.49,31,29,31,317
8.051,6.65,31,29,31,320
8.056,5.08,31,29,31,323
8.061,5.53,31,29,31,325
8.067,5.43,31,29,31,327
8.072,5.74,31,29,31,330
8.078,5.19,31,29,31,332
8.083,5.89,31,29,31,335
8.089,5.20,31,29,31,337
8.094,5.43,31,29,31,340
8.099,4.59,31,29,31,342
8.105,5.82,31,29,31,344
8.112,7.92,31,29,31,347
8.164,51.71,31,29,31,350
8.170,5.81,31,29,31,374
8.176,5.75,31,29,31,376
8.182,6.09,31,29,31,379
8.187,5.05,31,29,31,382
8.192,5.31,31,29,31,384
8.199,6.65,31,29,31,386
8.204,5.10,31,29,31,389
8.209,5.08,31,29,31,392
8.214,5.41,31,29,31,394
8.221,6.16,31,29,31,396
8.228,7.11,31,29,31,399
8.233,5.12,31,29,31,402
8.238,4.89,31,29,31,405
8.243,5.28,31,29,31,407
8.248,4.88,31,29,31,409
8.253,5.16,31,29,31,411
8.262,9.22,31,29,31,414
8.268,5.40,31,29,31,418
8.273,4.89,31,29,31,420
8.278,5.00,31,29,31,422
8.283,5.35,31,29,31,425
8.288,5.60,31,29,31,427
8.293,4.73,31,29,31,430
8.298,4.88,31,29,31,432
8.303,4.72,31,29,31,434
8.308,5.08,31,29,31,436
8.313,5.02,31,29,31,438
8.319,6.01,31,29,31,441
8.324,5.35,31,29,31,443
8.330,6.05,31,29,31,446
8.336,5.60,31,29,31,448
8.342,6.61,31,29,31,451
8.350,7.56,31,29,31,454
8.356,5.69,31,29,31,457
8.361,5.65,31,29,31,460
8.367,5.83,31,29,31,462
8.373,5.69,31,29,31,465
8.379,5.82,31,29,31,468
8.384,5.57,31,29,31,470
8.390,5.44,31,29,31,473
8.395,5.46,31,29,31,475
8.400,5.26,31,29,31,478
8.405,4.51,31,29,31,480
8.410,5.20,31,29,31,482
8.417,6.81,31,29,31,484
8.468,50.69,31,29,31,487
8.473,5.54,31,29,31,510
8.479,5.87,31,29,31,513
8.484,5.28,31,29,31,515
8.490,5.49,31,29,31,518
8.495,4.81,31,29,31,520
8.500,5.51,31,29,31,522
8.505,4.90,31,29,31,525
8.512,6.47,31,29,31,527
8.518,6.68,31,29,31,530
8.525,6.84,31,29,31,533
8.530,5.33,31,29,31,536
8.536,5.57,31,29,31,539
8.543,7.41,31,29,31,541
8.549,5.19,31,29,31,544
8.554,4.98,31,29,31,547
8.558,4.78,31,29,31,549
8.563,4.82,31,29,31,551
8.569,5.43,31,29,31,553
8.574,5.10,31,29,31,556
8.580,6.23,31,29,31,558
8.586,6.11,31,29,31,561
8.591,5.46,31,29,31,564
8.599,7.98,31,29,31,566
8.605,5.29,31,29,31,570
8.612,6.95,31,29,31,572
8.617,5.59,31,29,31,575
8.624,7.19,31,29,31,578
8.630,5.76,31,29,31,581
8.635,5.14,31,29,31,583
8.641,5.60,31,29,31,586
8.647,5.90,31,29,31,588
8.653,5.96,31,29,31,591
8.658,5.36,31,29,31,594
8.664,5.36,31,29,31,596
8.669,5.09,31,29,31,598
8.674,5.33,31,29,31,600
8.680,6.30,31,29,31,600
8.686,5.82,31,29,31,600
8.692,6.02,31,29,31,599
8.697,4.68,31,29,31,596
8.701,4.58,31,29,31,598
8.707,5.32,31,29,31,598
8.711,4.67,31,29,31,596
8.717,5.90,31,29,31,600
8.769,51.86,31,29,31,597
8.777,7.90,31,29,31,577
8.783,5.74,31,29,31,597
8.790,6.73,31,29,31,597
8.797,7.01,31,29,31,597
8.806,9.82,31,29,31,595
8.811,5.11,31,29,31,597
8.819,7.27,31,29,31,597
8.824,5.04,31,29,31,597
8.829,5.21,31,29,31,598
8.834,4.91,31,29,31,597
8.839,4.76,31,29,31,598
8.844,5.51,31,29,31,596
8.849,5.11,31,29,31,593
8.854,4.58,31,29,31,591
8.859,4.95,31,29,31,588
8.864,5.04,31,29,31,588
8.869,5.04,31,29,31,562
8.873,4.48,31,29,31,562
8.879,5.30,31,29,31,562
8.885,6.81,31,29,31,562
8.893,7.04,31,29,31,562
8.899,6.58,31,29,31,562
8.905,5.40,31,29,31,562
8.911,6.93,31,29,31,562
8.917,5.40,31,29,31,562
8.923,5.99,31,29,31,559
8.930,7.18,31,29,31,559
8.935,5.05,31,29,31,556
8.941,5.67,31,29,31,553
8.946,5.77,31,29,31,550
8.952,5.08,31,29,31,547
8.957,5.34,31,29,31,544
8.962,5.23,31,29,31,542
8.967,5.01,31,29,31,540
8.972,4.87,31,29,31,538
8.977,4.75,30,28,30,536
8.983,6.70,30,28,30,533
8.989,5.56,30,28,30,531
